total_revenue_type20,total_revenue_type21,n_purchasers_type20,n_purchasers_type21,n_users_type20,n_users_type21,conversion_rate_type20,conversion_rate_type21,arppu_type20,arppu_type21,arpu_type20,arpu_type21
12015000,11680000,122,102,424,476,0.28773584905660377,0.21428571428571427,98483.60655737705,114509.80392156863,28337.264150943396,24537.81512605042
12880000,10680000,138,93,453,447,0.304635761589404,0.2080536912751678,93333.33333333333,114838.70967741935,28432.671081677705,23892.61744966443
11175000,10500000,128,88,450,450,0.28444444444444444,0.19555555555555557,87304.6875,119318.18181818182,24833.333333333332,23333.333333333332
13105000,12610000,144,104,442,458,0.3257918552036199,0.22707423580786026,91006.94444444444,121250.0,29649.321266968327,27532.751091703056
11755000,12300000,132,101,446,454,0.29596412556053814,0.22246696035242292,89053.0303030303,121782.17821782178,26356.502242152466,27092.51101321586
11525000,11550000,137,88,441,459,0.31065759637188206,0.19172113289760348,84124.08759124088,131250.0,26133.786848072563,25163.398692810457
11565000,14040000,144,106,449,451,0.3207126948775056,0.23503325942350334,80312.5,132452.83018867925,25757.238307349668,31130.820399113083
14050000,11380000,140,101,446,454,0.31390134529147984,0.22246696035242292,100357.14285714286,112673.26732673268,31502.242152466366,25066.079295154184
11145000,10590000,125,87,428,472,0.29205607476635514,0.1843220338983051,89160.0,121724.13793103448,26039.719626168226,22436.4406779661
12500000,12440000,142,96,456,444,0.31140350877192985,0.21621621621621623,88028.1690140845,129583.33333333333,27412.280701754386,28018.018018018018
11775000,12460000,136,97,453,447,0.30022075055187636,0.21700223713646533,86580.88235294117,128453.60824742269,25993.37748344371,27874.720357941835
10560000,10360000,126,97,450,450,0.28,0.21555555555555556,83809.52380952382,106804.1237113402,23466.666666666668,23022.222222222223
12370000,12350000,128,100,465,435,0.2752688172043011,0.22988505747126436,96640.625,123500.0,26602.15053763441,28390.80459770115
12325000,12100000,122,96,442,458,0.27601809954751133,0.2096069868995633,101024.59016393442,126041.66666666667,27884.615384615383,26419.213973799127
13015000,9540000,135,79,463,437,0.2915766738660907,0.18077803203661327,96407.4074074074,120759.49367088608,28110.15118790497,21830.66361556064
11125000,10430000,134,82,470,430,0.2851063829787234,0.19069767441860466,83022.3880597015,127195.12195121951,23670.212765957447,24255.81395348837
10080000,11830000,120,106,413,487,0.29055690072639223,0.21765913757700206,84000.0,111603.77358490566,24406.77966101695,24291.58110882957
12400000,10250000,136,91,451,449,0.30155210643015523,0.2026726057906459,91176.4705882353,112637.36263736263,27494.456762749447,22828.507795100224
11815000,9850000,142,78,446,454,0.3183856502242152,0.17180616740088106,83204.22535211267,126282.05128205128,26491.03139013453,21696.03524229075
9700000,10630000,118,91,411,489,0.2871046228710462,0.18609406952965235,82203.38983050847,116813.18681318681,23600.973236009733,21738.241308793455
12100000,11180000,136,91,427,473,0.3185011709601874,0.19238900634249473,88970.58823529411,122857.14285714286,28337.236533957846,23636.363636363636
11980000,10110000,128,78,429,471,0.29836829836829837,0.16560509554140126,93593.75,129615.38461538461,27925.407925407926,21464.96815286624
13835000,10480000,147,85,463,437,0.3174946004319654,0.1945080091533181,94115.6462585034,123294.11764705883,29881.20950323974,23981.693363844395
12820000,9730000,136,87,462,438,0.2943722943722944,0.19863013698630136,94264.70588235294,111839.08045977012,27748.91774891775,22214.611872146117
11215000,10450000,122,92,425,475,0.28705882352941176,0.1936842105263158,91926.22950819672,113586.95652173914,26388.235294117647,22000.0
14620000,9550000,141,87,442,458,0.3190045248868778,0.18995633187772926,103687.94326241135,109770.11494252873,33076.92307692308,20851.528384279474
11950000,10430000,143,88,445,455,0.32134831460674157,0.1934065934065934,83566.43356643357,118522.72727272728,26853.932584269663,22923.076923076922
13165000,11490000,150,95,469,431,0.31982942430703626,0.22041763341067286,87766.66666666667,120947.36842105263,28070.362473347548,26658.93271461717
11410000,10640000,138,92,462,438,0.2987012987012987,0.2100456621004566,82681.15942028986,115652.17391304347,24696.969696969696,24292.237442922375
12000000,10280000,139,78,471,429,0.2951167728237792,0.18181818181818182,86330.93525179857,131794.87179487178,25477.707006369426,23962.703962703963
12875000,10670000,140,85,432,468,0.32407407407407407,0.18162393162393162,91964.28571428571,125529.41176470589,29803.24074074074,22799.1452991453
10685000,9290000,125,80,444,456,0.28153153153153154,0.17543859649122806,85480.0,116125.0,24065.315315315314,20372.80701754386
13335000,11490000,141,89,438,462,0.3219178082191781,0.19264069264069264,94574.46808510639,129101.12359550562,30445.205479452055,24870.12987012987
12475000,11660000,136,91,440,460,0.3090909090909091,0.19782608695652174,91727.94117647059,128131.86813186813,28352.272727272728,25347.82608695652
11445000,10340000,127,82,458,442,0.27729257641921395,0.18552036199095023,90118.11023622047,126097.56097560975,24989.082969432315,23393.66515837104
10855000,11780000,127,95,426,474,0.2981220657276995,0.20042194092827004,85472.44094488189,124000.0,25481.220657276994,24852.320675105486
14005000,11220000,147,87,468,432,0.3141025641025641,0.2013888888888889,95272.10884353741,128965.5172413793,29925.213675213676,25972.222222222223
13155000,10230000,139,85,456,444,0.3048245614035088,0.19144144144144143,94640.28776978418,120352.94117647059,28848.684210526317,23040.54054054054
11145000,13220000,124,101,434,466,0.2857142857142857,0.2167381974248927,89879.03225806452,130891.08910891089,25679.723502304147,28369.098712446354
11030000,10140000,128,81,457,443,0.2800875273522976,0.18284424379232506,86171.875,125185.18518518518,24135.667396061268,22889.39051918736
13120000,12400000,144,91,455,445,0.31648351648351647,0.20449438202247192,91111.11111111111,136263.73626373627,28835.164835164836,27865.16853932584
11910000,10530000,140,81,466,434,0.30042918454935624,0.18663594470046083,85071.42857142857,130000.0,25557.93991416309,24262.672811059907
12770000,10490000,141,80,421,479,0.334916864608076,0.16701461377870563,90567.37588652482,131125.0,30332.541567695964,21899.791231732775
12535000,12350000,141,89,443,457,0.3182844243792325,0.19474835886214442,88900.70921985815,138764.04494382022,28295.71106094808,27024.07002188184
13890000,8050000,134,76,460,440,0.29130434782608694,0.17272727272727273,103656.71641791044,105921.05263157895,30195.652173913044,18295.454545454544
10250000,10440000,125,92,439,461,0.2847380410022779,0.19956616052060738,82000.0,113478.26086956522,23348.519362186787,22646.42082429501
9410000,9080000,118,83,455,445,0.25934065934065936,0.18651685393258427,79745.7627118644,109397.59036144578,20681.31868131868,20404.494382022473
13665000,12330000,145,99,431,469,0.33642691415313225,0.21108742004264391,94241.37931034483,124545.45454545454,31705.336426914153,26289.97867803838
11860000,11410000,126,100,423,477,0.2978723404255319,0.20964360587002095,94126.98412698413,114100.0,28037.825059101655,23920.33542976939
13080000,8510000,136,73,443,457,0.30699774266365687,0.15973741794310722,96176.4705882353,116575.34246575342,29525.959367945823,18621.444201312912
12030000,12750000,144,106,434,466,0.3317972350230415,0.22746781115879827,83541.66666666667,120283.01886792453,27718.89400921659,27360.51502145923
11300000,12810000,137,102,434,466,0.315668202764977,0.21888412017167383,82481.75182481752,125588.23529411765,26036.866359447005,27489.270386266093
10770000,10150000,132,83,458,442,0.28820960698689957,0.18778280542986425,81590.90909090909,122289.15662650602,23515.28384279476,22963.800904977375
12835000,8590000,145,79,476,424,0.30462184873949577,0.18632075471698112,88517.24137931035,108734.17721518988,26964.285714285714,20259.43396226415
11895000,11720000,142,90,475,425,0.29894736842105263,0.21176470588235294,83767.60563380281,130222.22222222222,25042.105263157893,27576.470588235294
11995000,12190000,134,89,456,444,0.29385964912280704,0.20045045045045046,89514.92537313433,136966.29213483146,26304.824561403508,27454.954954954956
10920000,10280000,135,82,466,434,0.28969957081545067,0.1889400921658986,80888.88888888889,125365.85365853658,23433.476394849786,23686.63594470046
15290000,8850000,158,79,472,428,0.3347457627118644,0.18457943925233644,96772.15189873418,112025.3164556962,32394.06779661017,20677.570093457944
12860000,11490000,144,90,425,475,0.3388235294117647,0.18947368421052632,89305.55555555556,127666.66666666667,30258.823529411766,24189.473684210527
12075000,15290000,137,106,446,454,0.3071748878923767,0.23348017621145375,88138.68613138686,144245.28301886792,27073.991031390135,33678.4140969163
10405000,11760000,122,96,457,443,0.26695842450765866,0.21670428893905191,85286.88524590163,122500.0,22768.05251641138,26546.27539503386
11740000,13960000,126,118,412,488,0.3058252427184466,0.24180327868852458,93174.60317460318,118305.08474576271,28495.14563106796,28606.55737704918
10505000,12690000,127,94,464,436,0.27370689655172414,0.21559633027522937,82716.53543307087,135000.0,22640.08620689655,29105.504587155963
12345000,13030000,135,101,431,469,0.31322505800464034,0.21535181236673773,91444.44444444444,129009.900990099,28642.691415313224,27782.515991471217
11525000,9170000,126,78,416,484,0.30288461538461536,0.16115702479338842,91468.25396825396,117564.10256410256,27704.326923076922,18946.280991735537
11815000,10530000,145,82,454,446,0.31938325991189426,0.18385650224215247,81482.75862068965,128414.63414634146,26024.229074889867,23609.86547085202
12360000,11730000,140,102,438,462,0.319634703196347,0.22077922077922077,88285.71428571429,115000.0,28219.178082191782,25389.61038961039
12635000,9950000,145,76,463,437,0.31317494600431967,0.17391304347826086,87137.93103448275,130921.05263157895,27289.416846652268,22768.87871853547
13340000,11510000,141,95,456,444,0.3092105263157895,0.21396396396396397,94609.92907801419,121157.8947368421,29254.385964912282,25923.423423423425
10545000,10980000,126,92,471,429,0.267515923566879,0.21445221445221446,83690.47619047618,119347.82608695653,22388.535031847136,25594.405594405594
13540000,10280000,153,84,437,463,0.3501144164759725,0.18142548596112312,88496.73202614379,122380.95238095238,30983.981693363843,22203.023758099353
10860000,12320000,138,99,473,427,0.2917547568710359,0.23185011709601874,78695.65217391304,124444.44444444444,22959.83086680761,28852.45901639344
12850000,8490000,149,77,472,428,0.3156779661016949,0.17990654205607476,86241.61073825504,110259.74025974025,27224.57627118644,19836.448598130843
14170000,10850000,145,92,465,435,0.3118279569892473,0.21149425287356322,97724.13793103448,117934.78260869565,30473.11827956989,24942.528735632182
12085000,11270000,146,87,453,447,0.32229580573951433,0.19463087248322147,82773.97260273973,129540.22988505747,26677.704194260485,25212.527964205816
14065000,9340000,169,80,486,414,0.3477366255144033,0.1932367149758454,83224.85207100592,116750.0,28940.329218106996,22560.386473429953
9960000,10830000,111,93,417,483,0.26618705035971224,0.19254658385093168,89729.72972972973,116451.6129032258,23884.892086330936,22422.360248447207
12730000,8950000,135,78,460,440,0.29347826086956524,0.17727272727272728,94296.29629629629,114743.58974358975,27673.91304347826,20340.909090909092
12220000,9410000,137,79,467,433,0.29336188436830835,0.18244803695150116,89197.08029197081,119113.92405063291,26167.023554603853,21732.101616628177
11680000,10200000,132,81,472,428,0.2796610169491525,0.18925233644859812,88484.84848484848,125925.92592592593,24745.762711864405,23831.77570093458
10110000,12430000,113,102,437,463,0.2585812356979405,0.2203023758099352,89469.02654867257,121862.74509803922,23135.0114416476,26846.652267818576
13325000,10750000,146,90,466,434,0.3133047210300429,0.2073732718894009,91267.12328767123,119444.44444444444,28594.420600858368,24769.585253456222
11210000,11790000,122,88,444,456,0.2747747747747748,0.19298245614035087,91885.24590163934,133977.27272727274,25247.747747747748,25855.263157894737
14895000,10850000,160,92,448,452,0.35714285714285715,0.20353982300884957,93093.75,117934.78260869565,33247.767857142855,24004.424778761062
12170000,12000000,131,98,471,429,0.2781316348195329,0.22843822843822845,92900.76335877863,122448.97959183673,25838.64118895966,27972.027972027972
13580000,12070000,144,96,453,447,0.31788079470198677,0.21476510067114093,94305.55555555556,125729.16666666667,29977.924944812363,27002.237136465323
13720000,11380000,150,83,488,412,0.3073770491803279,0.20145631067961164,91466.66666666667,137108.43373493975,28114.754098360656,27621.35922330097
10995000,10990000,137,84,443,457,0.309255079006772,0.1838074398249453,80255.47445255474,130833.33333333333,24819.41309255079,24048.140043763677
12310000,10220000,135,86,442,458,0.3054298642533937,0.18777292576419213,91185.18518518518,118837.20930232559,27850.678733031673,22314.410480349346
12220000,11200000,145,91,447,453,0.3243847874720358,0.20088300220750552,84275.86206896552,123076.92307692308,27337.80760626398,24724.061810154526
11210000,10490000,122,87,462,438,0.26406926406926406,0.19863013698630136,91885.24590163934,120574.71264367815,24264.069264069265,23949.771689497717
10890000,9410000,125,80,414,486,0.30193236714975846,0.1646090534979424,87120.0,117625.0,26304.347826086956,19362.139917695473
12235000,9080000,147,79,448,452,0.328125,0.1747787610619469,83231.2925170068,114936.70886075949,27310.26785714286,20088.495575221237
11805000,11320000,128,89,445,455,0.2876404494382023,0.1956043956043956,92226.5625,127191.01123595505,26528.08988764045,24879.120879120877
8970000,13740000,119,113,442,458,0.2692307692307692,0.24672489082969432,75378.15126050421,121592.9203539823,20294.117647058825,30000.0
11350000,12910000,137,97,464,436,0.2952586206896552,0.22247706422018348,82846.71532846715,133092.78350515463,24461.206896551725,29610.091743119265
13155000,11430000,149,90,457,443,0.32603938730853393,0.20316027088036118,88288.59060402685,127000.0,28785.557986870896,25801.354401805867
11925000,11360000,123,91,424,476,0.29009433962264153,0.19117647058823528,96951.21951219512,124835.16483516483,28125.0,23865.546218487394
12740000,9100000,144,79,457,443,0.3150984682713348,0.17832957110609482,88472.22222222222,115189.87341772152,27877.46170678337,20541.76072234763
10125000,13140000,121,97,436,464,0.2775229357798165,0.20905172413793102,83677.68595041323,135463.9175257732,23222.477064220184,28318.96551724138
13145000,12610000,140,99,471,429,0.29723991507430997,0.23076923076923078,93892.85714285714,127373.73737373737,27908.704883227176,29393.939393939392
12230000,9980000,143,82,455,445,0.3142857142857143,0.1842696629213483,85524.47552447552,121707.31707317074,26879.120879120877,22426.96629213483
11585000,10480000,138,88,427,473,0.3231850117096019,0.18604651162790697,83949.27536231885,119090.90909090909,27131.147540983606,22156.44820295983
11100000,12600000,130,105,458,442,0.2838427947598253,0.23755656108597284,85384.61538461539,120000.0,24235.807860262008,28506.787330316743
11605000,13130000,137,101,439,461,0.3120728929384966,0.21908893709327548,84708.0291970803,130000.0,26435.079726651482,28481.561822125812
12980000,8590000,132,71,458,442,0.28820960698689957,0.16063348416289594,98333.33333333333,120985.91549295775,28340.61135371179,19434.389140271494
10165000,13340000,117,113,436,464,0.268348623853211,0.2435344827586207,86880.34188034188,118053.09734513274,23314.22018348624,28750.0
12615000,11220000,140,94,443,457,0.3160270880361174,0.20568927789934355,90107.14285714286,119361.70212765958,28476.29796839729,24551.422319474837
10790000,10750000,130,89,462,438,0.2813852813852814,0.20319634703196346,83000.0,120786.51685393258,23354.978354978353,24543.37899543379
12935000,10450000,140,93,452,448,0.30973451327433627,0.20758928571428573,92392.85714285714,112365.59139784946,28617.256637168142,23325.89285714286
11645000,11790000,127,92,438,462,0.2899543378995434,0.19913419913419914,91692.91338582677,128152.17391304347,26586.75799086758,25519.48051948052
12390000,10770000,145,85,439,461,0.33029612756264237,0.1843817787418655,85448.27586206897,126705.88235294117,28223.234624145785,23362.255965292843
13335000,9930000,144,85,459,441,0.3137254901960784,0.1927437641723356,92604.16666666667,116823.5294117647,29052.287581699347,22517.006802721087
11815000,11480000,134,88,446,454,0.3004484304932735,0.19383259911894274,88171.64179104478,130454.54545454546,26491.03139013453,25286.3436123348
10670000,8820000,131,76,470,430,0.27872340425531916,0.17674418604651163,81450.38167938932,116052.63157894737,22702.127659574468,20511.627906976744
13570000,11860000,158,91,456,444,0.34649122807017546,0.20495495495495494,85886.07594936709,130329.67032967033,29758.77192982456,26711.711711711712
9465000,10350000,121,83,465,435,0.26021505376344084,0.19080459770114944,78223.14049586777,124698.7951807229,20354.83870967742,23793.103448275862
11220000,11310000,140,91,462,438,0.30303030303030304,0.20776255707762556,80142.85714285714,124285.71428571429,24285.714285714286,25821.91780821918
13000000,10490000,145,89,467,433,0.31049250535331907,0.20554272517321015,89655.1724137931,117865.16853932584,27837.259100642397,24226.32794457275
13260000,9440000,137,78,488,412,0.2807377049180328,0.18932038834951456,96788.32116788322,121025.64102564103,27172.131147540982,22912.6213592233
12020000,8220000,124,72,431,469,0.2877030162412993,0.1535181236673774,96935.48387096774,114166.66666666667,27888.63109048724,17526.652452025588
11330000,11550000,129,88,474,426,0.2721518987341772,0.20657276995305165,87829.45736434108,131250.0,23902.95358649789,27112.676056338027
12860000,11220000,138,95,468,432,0.2948717948717949,0.2199074074074074,93188.40579710146,118105.26315789473,27478.63247863248,25972.222222222223
11845000,11670000,134,93,423,477,0.31678486997635935,0.1949685534591195,88395.5223880597,125483.87096774194,28002.36406619385,24465.408805031446
13035000,9620000,144,79,479,421,0.30062630480167013,0.1876484560570071,90520.83333333333,121772.15189873418,27212.94363256785,22850.356294536818
11605000,11490000,134,103,440,460,0.30454545454545456,0.22391304347826088,86604.4776119403,111553.39805825242,26375.0,24978.260869565216
12250000,10020000,140,84,439,461,0.31890660592255127,0.1822125813449024,87500.0,119285.71428571429,27904.328018223234,21735.357917570498
12310000,10770000,146,86,474,426,0.3080168776371308,0.20187793427230047,84315.06849315068,125232.55813953489,25970.4641350211,25281.690140845072
14705000,12350000,150,89,447,453,0.33557046979865773,0.19646799116997793,98033.33333333333,138764.04494382022,32897.091722595076,27262.69315673289
11055000,13090000,125,103,432,468,0.28935185185185186,0.22008547008547008,88440.0,127087.3786407767,25590.277777777777,27970.08547008547
11415000,10710000,136,92,450,450,0.3022222222222222,0.20444444444444446,83933.82352941176,116413.04347826086,25366.666666666668,23800.0
12395000,11770000,135,98,466,434,0.28969957081545067,0.22580645161290322,91814.81481481482,120102.04081632652,26598.712446351932,27119.815668202766
10685000,9320000,125,76,437,463,0.28604118993135014,0.16414686825053995,85480.0,122631.57894736843,24450.80091533181,20129.589632829375
11495000,11350000,129,92,452,448,0.2853982300884956,0.20535714285714285,89108.52713178295,123369.56521739131,25431.41592920354,25334.821428571428
13165000,9030000,147,70,461,439,0.3188720173535792,0.15945330296127563,89557.8231292517,129000.0,28557.48373101952,20569.476082004556
11500000,10450000,123,78,443,457,0.27765237020316025,0.17067833698030635,93495.93495934959,133974.35897435897,25959.367945823928,22866.52078774617
11940000,9610000,136,75,472,428,0.288135593220339,0.17523364485981308,87794.11764705883,128133.33333333333,25296.610169491527,22453.271028037383
9985000,8780000,119,81,432,468,0.27546296296296297,0.17307692307692307,83907.56302521008,108395.06172839506,23113.425925925927,18760.68376068376
10935000,12790000,122,101,429,471,0.28438228438228436,0.21443736730360935,89631.14754098361,126633.66336633664,25489.51048951049,27154.989384288747
9910000,10660000,122,92,456,444,0.2675438596491228,0.2072072072072072,81229.5081967213,115869.56521739131,21732.456140350878,24009.00900900901
12045000,11390000,134,90,448,452,0.29910714285714285,0.19911504424778761,89888.05970149254,126555.55555555556,26886.160714285714,25199.11504424779
11290000,9140000,130,88,462,438,0.2813852813852814,0.2009132420091324,86846.15384615384,103863.63636363637,24437.22943722944,20867.579908675798
10840000,11700000,116,91,443,457,0.2618510158013544,0.19912472647702406,93448.27586206897,128571.42857142857,24469.525959367948,25601.75054704595
10870000,9810000,127,86,440,460,0.28863636363636364,0.18695652173913044,85590.55118110236,114069.76744186046,24704.545454545456,21326.08695652174
10755000,11250000,112,94,442,458,0.25339366515837103,0.2052401746724891,96026.78571428571,119680.85106382979,24332.57918552036,24563.318777292578
11050000,9880000,122,90,438,462,0.2785388127853881,0.19480519480519481,90573.77049180328,109777.77777777778,25228.310502283104,21385.281385281385
13735000,9940000,145,76,480,420,0.3020833333333333,0.18095238095238095,94724.13793103448,130789.47368421052,28614.583333333332,23666.666666666668
12180000,10320000,146,84,450,450,0.3244444444444444,0.18666666666666668,83424.65753424658,122857.14285714286,27066.666666666668,22933.333333333332
14185000,12520000,146,99,457,443,0.31947483588621445,0.2234762979683973,97157.53424657535,126464.64646464646,31039.38730853392,28261.851015801356
14215000,9530000,150,81,476,424,0.31512605042016806,0.19103773584905662,94766.66666666667,117654.32098765433,29863.44537815126,22476.415094339623
13210000,11560000,150,92,457,443,0.3282275711159737,0.2076749435665914,88066.66666666667,125652.17391304347,28905.908096280087,26094.808126410837
12690000,9970000,134,81,463,437,0.2894168466522678,0.1853546910755149,94701.49253731343,123086.41975308642,27408.207343412527,22814.645308924486
12695000,10120000,136,86,452,448,0.3008849557522124,0.19196428571428573,93345.58823529411,117674.41860465116,28086.283185840708,22589.285714285714
11935000,10980000,140,84,458,442,0.3056768558951965,0.19004524886877827,85250.0,130714.28571428571,26058.951965065502,24841.62895927602
13070000,10090000,135,70,464,436,0.29094827586206895,0.16055045871559634,96814.81481481482,144142.85714285713,28168.103448275862,23142.201834862386
12770000,11250000,142,95,434,466,0.3271889400921659,0.20386266094420602,89929.57746478873,118421.05263157895,29423.963133640555,24141.630901287554
11530000,11190000,131,88,425,475,0.30823529411764705,0.18526315789473685,88015.26717557252,127159.09090909091,27129.41176470588,23557.894736842107
10770000,13600000,118,111,441,459,0.2675736961451247,0.24183006535947713,91271.18644067796,122522.52252252253,24421.768707482992,29629.62962962963
11900000,10890000,129,87,443,457,0.291196388261851,0.19037199124726478,92248.06201550388,125172.41379310345,26862.302483069976,23829.321663019695
11340000,10410000,129,83,460,440,0.28043478260869564,0.18863636363636363,87906.97674418605,125421.68674698795,24652.17391304348,23659.090909090908
11415000,10690000,120,94,450,450,0.26666666666666666,0.2088888888888889,95125.0,113723.40425531915,25366.666666666668,23755.555555555555
12275000,11200000,126,102,451,449,0.2793791574279379,0.22717149220489977,97420.63492063493,109803.92156862745,27217.29490022173,24944.320712694876
11815000,9900000,138,96,440,460,0.31363636363636366,0.20869565217391303,85615.9420289855,103125.0,26852.272727272728,21521.739130434784
9845000,10780000,130,84,465,435,0.27956989247311825,0.19310344827586207,75730.76923076923,128333.33333333333,21172.043010752688,24781.6091954023
12990000,9750000,139,85,433,467,0.3210161662817552,0.18201284796573874,93453.23741007195,114705.88235294117,30000.0,20877.9443254818
11385000,11900000,122,94,457,443,0.26695842450765866,0.21218961625282168,93319.67213114754,126595.74468085106,24912.47264770241,26862.302483069976
12420000,9740000,138,83,449,451,0.30734966592427615,0.18403547671840353,90000.0,117349.39759036145,27661.469933184857,21596.452328159645
11615000,10960000,128,85,460,440,0.2782608695652174,0.19318181818181818,90742.1875,128941.17647058824,25250.0,24909.090909090908
14080000,11060000,146,93,442,458,0.33031674208144796,0.20305676855895197,96438.35616438356,118924.7311827957,31855.203619909502,24148.471615720526
11295000,10400000,132,91,450,450,0.29333333333333333,0.20222222222222222,85568.18181818182,114285.71428571429,25100.0,23111.11111111111
11535000,11080000,140,82,450,450,0.3111111111111111,0.18222222222222223,82392.85714285714,135121.9512195122,25633.333333333332,24622.222222222223
9170000,8720000,114,83,453,447,0.25165562913907286,0.18568232662192394,80438.59649122808,105060.24096385542,20242.825607064016,19507.829977628637
10870000,11290000,132,97,475,425,0.27789473684210525,0.22823529411764706,82348.48484848485,116391.75257731958,22884.21052631579,26564.70588235294
11325000,10370000,128,90,444,456,0.2882882882882883,0.19736842105263158,88476.5625,115222.22222222222,25506.756756756757,22741.22807017544
12330000,11420000,148,99,458,442,0.3231441048034934,0.2239819004524887,83310.81081081081,115353.53535353535,26921.397379912665,25837.10407239819
12690000,13380000,139,96,445,455,0.31235955056179776,0.210989010989011,91294.96402877697,139375.0,28516.85393258427,29406.593406593405
10555000,14220000,123,114,433,467,0.2840646651270208,0.24411134903640258,85813.0081300813,124736.84210526316,24376.443418013856,30449.67880085653
11630000,7940000,131,71,472,428,0.2775423728813559,0.1658878504672897,88778.62595419848,111830.98591549296,24639.830508474577,18551.40186915888
12900000,11650000,132,88,467,433,0.2826552462526767,0.20323325635103925,97727.27272727272,132386.36363636365,27623.126338329763,26905.311778290994
11795000,10310000,140,85,445,455,0.3146067415730337,0.18681318681318682,84250.0,121294.11764705883,26505.61797752809,22659.340659340658
11305000,11270000,126,102,441,459,0.2857142857142857,0.2222222222222222,89722.22222222222,110490.19607843137,25634.920634920636,24553.376906318084
10625000,11480000,117,92,427,473,0.27400468384074944,0.1945031712473573,90811.96581196581,124782.60869565218,24882.903981264637,24270.61310782241
11155000,12110000,134,101,451,449,0.29711751662971175,0.22494432071269488,83246.26865671642,119900.9900990099,24733.92461197339,26971.046770601337
11160000,10800000,133,82,444,456,0.29954954954954954,0.17982456140350878,83909.77443609023,131707.31707317074,25135.135135135137,23684.21052631579
12745000,10700000,130,94,451,449,0.28824833702882485,0.20935412026726058,98038.46153846153,113829.78723404255,28259.423503325943,23830.734966592427
10865000,11470000,115,96,437,463,0.2631578947368421,0.20734341252699784,94478.26086956522,119479.16666666667,24862.700228832953,24773.218142548598
12020000,11040000,144,97,465,435,0.3096774193548387,0.22298850574712645,83472.22222222222,113814.43298969071,25849.462365591397,25379.310344827587
8620000,13050000,111,114,435,465,0.25517241379310346,0.24516129032258063,77657.65765765766,114473.68421052632,19816.091954022988,28064.516129032258
